2011-03-07 06:25:00	2
2011-03-07 06:25:10	1
2011-03-07 06:25:20	0
2011-03-07 06:25:30	2
2011-03-07 06:25:32	2
2011-03-07 09:15:55	3
2011-03-07 12:00:00	3
2011-03-07 12:03:27	2
2011-03-07 20:23:01	0
2011-03-07 20:23:03	0
2011-03-07 20:23:07	1
2011-03-07 20:23:10	0
2011-03-07 20:23:15	1
2011-03-07 20:23:20	3
2011-03-07 20:27:10	2
2011-03-07 20:28:00	3
2011-03-07 20:30:00	3
2011-03-07 20:33:00	3
2011-03-07 20:33:01	2
2011-03-07 20:43:01	2
2011-03-07 20:44:01	3
2011-03-07 20:49:10	3
2011-03-07 20:50:01	2
2011-03-07 20:53:01	0
2011-03-07 20:53:10	0
2011-03-07 20:53:20	1
2011-03-07 20:53:30	3
2011-03-07 20:53:40	2
2011-03-07 20:55:01	3
2011-03-08 00:55:01	2
2011-03-08 00:56:01	3
2011-03-08 00:56:10	3
2011-03-08 00:57:01	3
2011-03-08 01:06:01	3
2011-03-08 01:06:10	2
2011-03-08 01:06:15	2
2011-03-08 01:06:20	2
2011-03-08 01:06:40	3
2011-03-08 01:06:41	2
2011-03-08 01:06:45	2
2011-03-08 01:06:50	3
2011-03-08 01:07:10	0
2011-03-08 01:07:16	2
2011-03-08 01:07:20	1
2011-03-08 01:07:25	1
2011-03-08 01:07:30	1
2011-03-08 01:08:20	3
2011-03-08 01:18:20	3
2011-03-08 01:18:26	2
2011-03-08 01:28:20	3
